[INFO 2:24:09 PM] alexdauenhauer.catppuccin-noctis-icons activated
[INFO 2:24:09 PM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 2:24:09 PM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 2:24:09 PM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 2:24:10 PM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 2:24:10 PM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 2:24:10 PM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 2:25:34 PM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 2:25:34 PM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 2:25:34 PM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 2:25:57 PM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 2:25:57 PM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 2:25:57 PM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 2:26:04 PM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 2:26:04 PM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 2:26:04 PM] catppuccin-noctis-icons.files.associations changed, updating to undefined
